"cc.raw","pyro.raw","patch.raw","precc.raw","elev.raw","lat.raw","whrtype","fir.raw"
65.44,3.25,42.43,16.91428571,2247.066,37.3236915791,"NFR",0
33.47,4.89,0,39,2223.402,37.3236466355,"SMC",1.84625
98.12,3.82,150,36.83333333,2260.155,37.3236703207,"JPN",1.32388888888889
96.67,2.8,161.55,32.55555556,2296.963,37.3236368774,"JPN",0.713888888888889
38.33,2.75,0,28.2972973,2267.75,37.3168975834,"JPN",0.686756756756757
24.41,2.88,30,37.68571429,2228.001,37.3191241183,"JPN",1.80057142857143
50.42,3.56,30,23.67567568,2264.539,37.3191221408,"JPN",0.387567567567568
70.15,3.09,0,20.17142857,2310.939,37.3191662708,"NFR",0.304857142857143
33.5,2.13,0,28.22857143,2192.858,37.321457264,"JPN",1.976
18.94,3.36,0,46.2,2191.726,37.3213984344,"JPN",3.98714285714286
73.31,3.97,84.85,26.31428571,2239.058,37.3214549538,"JPN",2.24285714285714
60.44,3.4,30,42.5,2248.369,37.3215123547,"JPN",3.07916666666667
85.37,2.71,120,38.42857143,2293,37.321355161,"JPN",3.81942857142857
3.79,1.49,0,56.05714286,755.2874,40.00951153,"NFR",0.210285714285714
4.95,1.68,0,51.94444444,779.9515,40.010820087,"NFR",0.0591666666666667
12.68,1.84,0,51.78125,859.1201,40.012317574,"NFR",0
8.56,1.67,0,54.75,930.9014,40.014585966,"NFR",0
0.52,1.39,0,46.11428571,963.6489,40.016641703,"NFR",0.207714285714286
0.29,1.25,0,37.47222222,981.8302,40.017032768,"NFR",0
3.18,1.07,0,45.4375,709.0988,40.005933086,"HRD",0
0.07,1.2,0,78.97142857,751.4557,40.007898189,"OTH",0
0,1.21,0,78.08333333,730.9332,40.009543226,"OTH",0.607222222222222
3.4,1.11,0,49.05555556,747.1659,40.005993875,"HRD",0
1.14,1.05,0,47.47222222,746.6705,40.004343076,"HRD",0
0,1.13,0,80.54285714,739.1684,40.006322313,"OTH",0
0.09,1.32,0,72.77142857,738.2023,40.007932718,"OTH",0
